PRISONER_ID,AADHAR_NUMBER,CRIME_ID,ENTER_DATE,RELEASE_DATE
1,123456789012,1,2022-01-15,2023-01-15
2,234567890123,2,2021-03-10,2022-03-10
3,345678901234,3,2020-05-20,2021-05-20
4,456789012345,4,2019-07-25,2020-07-25
5,567890123456,5,2018-09-30,2019-09-30
6,678901234567,6,2022-11-05,2023-11-05
7,789012345678,7,2021-01-15,2022-01-15
8,890123456789,8,2020-03-10,2021-03-10
9,901234567890,9,2019-05-20,2020-05-20
10,112345678901,10,2018-07-25,2019-07-25
11,223456789012,11,2022-09-30,2023-09-30
12,334567890123,12,2021-11-05,2022-11-05
13,445678901234,13,2020-01-15,2021-01-15
14,556789012345,14,2019-03-10,2020-03-10
15,667890123456,15,2018-05-20,2019-05-20
16,778901234567,16,2022-07-25,2023-07-25
17,889012345678,17,2021-09-30,2022-09-30
18,990123456789,18,2020-11-05,2021-11-05
19,101234567890,19,2019-01-15,2020-01-15
20,212345678901,20,2018-03-10,2019-03-10
21,123456789012,1,2022-05-20,2023-05-20
22,234567890123,2,2021-07-25,2022-07-25
23,345678901234,3,2020-09-30,2021-09-30
24,456789012345,4,2019-11-05,2020-11-05
25,567890123456,5,2018-01-15,2019-01-15
26,678901234567,6,2022-03-10,2023-03-10
27,789012345678,7,2021-05-20,2022-05-20
28,890123456789,8,2020-07-25,2021-07-25
29,901234567890,9,2019-09-30,2020-09-30
30,112345678901,10,2018-11-05,2019-11-05
31,223456789012,11,2022-01-15,2023-01-15
32,334567890123,12,2021-03-10,2022-03-10
33,445678901234,13,2020-05-20,2021-05-20
34,556789012345,14,2019-07-25,2020-07-25
35,667890123456,15,2018-09-30,2019-09-30
36,778901234567,16,2022-11-05,2023-11-05
37,889012345678,17,2021-01-15,2022-01-15
38,990123456789,18,2020-03-10,2021-03-10
39,101234567890,19,2019-05-20,2020-05-20
40,212345678901,20,2018-07-25,2019-07-25
41,123456789012,1,2022-09-30,2023-09-30
42,234567890123,2,2021-11-05,2022-11-05
43,345678901234,3,2020-01-15,2021-01-15
44,456789012345,4,2019-03-10,2020-03-10
45,567890123456,5,2018-05-20,2019-05-20
46,678901234567,6,2022-07-25,2023-07-25
47,789012345678,7,2021-09-30,2022-09-30
48,890123456789,8,2020-11-05,2021-11-05
49,901234567890,9,2019-01-15,2020-01-15
50,112345678901,10,2018-03-10,2019-03-10
51,223456789012,11,2022-05-20,2023-05-20
52,334567890123,12,2021-07-25,2022-07-25
53,445678901234,13,2020-09-30,2021-09-30
54,556789012345,14,2019-11-05,2020-11-05
55,667890123456,15,2018-01-15,2019-01-15
56,778901234567,16,2022-03-10,2023-03-10
57,889012345678,17,2021-05-20,2022-05-20
58,990123456789,18,2020-07-25,2021-07-25
59,101234567890,19,2019-09-30,2020-09-30
60,212345678901,20,2018-11-05,2019-11-05
61,123456789012,1,2022-01-15,2023-01-15
62,234567890123,2,2021-03-10,2022-03-10
63,345678901234,3,2020-05-20,2021-05-20
64,456789012345,4,2019-07-25,2020-07-25
65,567890123456,5,2018-09-30,2019-09-30
66,678901234567,6,2022-11-05,2023-11-05
67,789012345678,7,2021-01-15,2022-01-15
68,890123456789,8,2020-03-10,2021-03-10
69,901234567890,9,2019-05-20,2020-05-20
70,112345678901,10,2018-07-25,2019-07-25
71,223456789012,11,2022-09-30,2023-09-30
72,334567890123,12,2021-11-05,2022-11-05
73,445678901234,13,2020-01-15,2021-01-15
74,556789012345,14,2019-03-10,2020-03-10
75,667890123456,15,2018-05-20,2019-05-20
76,778901234567,16,2022-07-25,2023-07-25
77,889012345678,17,2021-09-30,2022-09-30
78,990123456789,18,2020-11-05,2021-11-05
79,101234567890,19,2019-01-15,2020-01-15
80,212345678901,20,2018-03-10,2019-03-10
